BoroCT2010,count
3054500,622
3054600,373
3054700,515
3054800,191
3054900,504
3055000,262
3055100,722
3055200,607
3055300,1171
3055400,710
3055500,725
3055600,198
3055700,495
3055800,230
3056000,196
3056100,490
3056200,96
3056300,656
3056400,169
3056500,417
3056600,266
3056800,134
3056900,501
3057000,396
3057100,330
3057200,1019
3057300,434
3057400,208
3057500,771
3057600,224
3057800,406
3057900,211
3058000,403
3058200,369
3058400,434
3058600,227
3058800,337
3058900,133
3059000,228
3059100,400
3059200,470
3059300,369
3059401,276
3059402,597
3059600,559
3059800,225
3060000,512
3060600,632
3060800,506
3061002,208
3061003,599
3061004,526
3061200,114
3061600,166
3062000,112
3062200,614
3062600,287
3062800,399
3063200,258
3063600,138
3063800,88
3064000,79
3064200,243
3064400,158
3064600,138
3064800,175
3065000,246
3065200,273
3065400,86
3065600,83
3065800,186
3066000,104
3066200,634
3066600,172
3067000,1426
3067200,251
3067400,187
3067600,369
3067800,260
3068000,248
3068200,238
3068600,299
3068800,246
3069000,256
3069200,443
3069601,307
3069602,317
3069800,330
3070000,360
3070201,304
3070202,38
3070600,88
3072000,481
3072200,283
3072400,412
3072600,356
3072800,548
3073000,278
3073200,278
3073400,212
3073600,325
3073800,294
3074000,560
3074200,477
3074400,149
3074600,181
3074800,186
3075000,184
3075200,141
3075400,111
3075600,178
3075800,115
3076000,213
3076200,344
3076400,293
3076600,266
3076800,350
3077000,535
3077200,325
3077400,1624
3077600,268
3078000,311
3078200,426
3078400,299
3078600,1025
3078800,809
3079000,849
3079200,799
3079400,664
3079601,1026
3079602,986
3079801,426
3079802,817
3080000,668
3080200,917
3080400,834
3080600,483
3080800,743
3081000,361
3081400,364
3081600,818
3081800,693
3082000,1179
3082200,643
3082400,1223
3082600,956
3082800,982
3083000,1324
3083200,238
3083400,271
3083600,378
3083800,320
3084000,281
3084600,387
3084800,326
3085000,184
3085200,26
3085400,303
3085600,761
3085800,515
3086000,649
3086200,898
3086400,521
3086600,496
3086800,707
3087000,357
3087200,412
3087401,942
3087600,515
3087800,721
3088000,853
3088200,961
3088400,992
3088600,1084
3088800,581
3089000,1087
3089200,1565
3089400,1017
3089600,815
3089800,675
3090000,1221
3090200,1083
3090600,1767
3090800,1569
3091000,1567
3091200,3009
3091600,1152
3091800,735
3092000,1069
3092200,631
3092400,945
3092800,759
3093000,302
3093200,339
3093400,255
3093600,305
3093800,395
3094401,405
3094402,720
3094600,408
3095000,504
3095400,534
3095600,985
3095800,400
3096000,354
3096200,312
3096400,488
3096600,357
3096800,702
3097000,489
3097400,584
3098200,1331
3098400,354
3098600,385
3098800,430
3099000,246
3099200,218
3099400,303
3099600,314
3099800,188
3100400,374
3100600,231
3100800,233
3101000,248
3101200,391
3101400,205
3101600,97
3101800,119
3102000,241
3102200,961
3102400,377
3102600,366
3102800,100
3103400,668
3105801,819
3105804,506
3107000,1547
3107800,767
3109800,290
3110400,1298
3110600,1685
3111000,1306
3111600,482
3111800,1073
3112000,1017
3112200,1517
3112400,982
3112600,1247
3112800,1450
3113000,1095
3113200,777
3113400,1181
3114201,436
3114202,540
3114400,1127
3114600,856
3115000,711
3115200,1322
3115600,1657
3115800,882
3116000,550
3116200,606
3116400,1013
3116600,923
3116800,694
3117000,661
3117201,527
3117202,675
3117400,772
3117601,448
3117602,407
3117800,490
3118000,97
3118201,414
3118202,562
3118400,688
3118600,535
3118800,990
3119000,874
3119200,863
