BoroCT2010,boro,center_x,center_y
3057200,3057200,-73.93821609355182,40.59636843458983
3057300,3057300,-73.94883029323402,40.72804881006802
3057400,3057400,-73.94433850142644,40.60114975860558
3057600,3057600,-73.94757112988648,40.599873166479895
3057800,3057800,-73.95151271885857,40.59944002701692
3058000,3058000,-73.95545393520406,40.59900675281406
3058600,3058600,-73.9546133850238,40.594563073077765
3059100,3059100,-73.94292799229031,40.72354030870885
3059200,3059200,-73.95145093631989,40.59233819431387
3059300,3059300,-73.93833326783759,40.72599645597778
3059401,3059401,-73.94762589833438,40.593012129968486
3059402,3059402,-73.94301808931775,40.59461434238629
3059600,3059600,-73.94005638539548,40.59109691106834
3060000,3060000,-73.94569591377505,40.58707398773479
3061003,3061003,-73.95866988991915,40.58137864374937
3061200,3061200,-73.94960614751764,40.58088822754888
3063200,3063200,-73.9315684796498,40.59976067591835
3063600,3063600,-73.93614301640027,40.60993567033733
3063800,3063800,-73.93880992153125,40.60666780038299
3064000,3064000,-73.9402462127982,40.61099701203586
3064600,3064600,-73.93953520671387,40.615914562710586
3064800,3064800,-73.93646057612703,40.61768994214562
3065000,3065000,-73.93364678109765,40.61997874011785
3065200,3065200,-73.9300821190001,40.614765837715225
3065400,3065400,-73.93180763136334,40.61294880431509
3065600,3065600,-73.93498247642968,40.613011222392146
3065800,3065800,-73.93120039785623,40.608082649881965
3066000,3066000,-73.92808013242015,40.609046629449026
3067000,3067000,-73.92276802734555,40.61272465525725
3067200,3067200,-73.92780055598858,40.61874060735819
3067400,3067400,-73.93026960297944,40.61982321454971
3067600,3067600,-73.92720071781137,40.62499500941764
3067800,3067800,-73.92277891950387,40.626148990628785
3068000,3068000,-73.92518778927483,40.62137637316576
3068200,3068200,-73.9241304904749,40.61664702282566
3068600,3068600,-73.91728243791299,40.6148228328807
3068800,3068800,-73.91910355802814,40.617214373246945
3069000,3069000,-73.92066911257055,40.61996583437323
3069200,3069200,-73.92009819603209,40.623671105702066
3072800,3072800,-73.92700407053086,40.62948574143994
3073400,3073400,-73.93747786335811,40.62781526486362
3073600,3073600,-73.93579109207442,40.6240411246889
3073800,3073800,-73.93907749436009,40.622409263600105
3074000,3074000,-73.94125692612492,40.6273940786428
3074200,3074200,-73.94497538133683,40.626994244426825
3074400,3074400,-73.94310293987971,40.62231289513154
3074600,3074600,-73.94264438604148,40.618599158489296
3074800,3074800,-73.94689578736575,40.62189325961418
3075000,3075000,-73.94876598038813,40.62656822198298
3075200,3075200,-73.95254581476388,40.62615305664822
3075400,3075400,-73.95071147647576,40.62147366594844
3075600,3075600,-73.94798938175249,40.61685655087222
3076000,3076000,-73.95478860220175,40.62135711842292
3076200,3076200,-73.95648572285724,40.62571843265962
3076400,3076400,-73.95864323256029,40.63192712194921
3076800,3076800,-73.96080167156536,40.61880404960134
3077000,3077000,-73.9538292625257,40.63613861803206
3077400,3077400,-73.94808367680373,40.63120884243793
3078400,3078400,-73.94295589442754,40.63426216567103
3078600,3078600,-73.94706258329772,40.63441901157959
3079000,3079000,-73.95370026522554,40.64098434015973
3079200,3079200,-73.9549101693383,40.644764336882794
3079601,3079601,-73.95827237280494,40.65659632950214
3080000,3080000,-73.95376666988021,40.66068592411259
3080400,3080400,-73.94899021733987,40.65897447655993
3080600,3080600,-73.94386140350557,40.6616592063329
3081000,3081000,-73.94454843876058,40.659113424195795
3081400,3081400,-73.94023809011449,40.65364041086313
