BoroCT2010,count
3023200,175
3023300,1522
3023400,218
3023500,783
3023600,162
3023800,152
3024000,179
3024100,858
3024200,189
3024300,975
3024400,283
3024500,879
3024600,276
3024700,1407
3024800,420
3024900,880
3025000,376
3025100,1650
3025200,417
3025300,815
3025400,328
3025500,2024
3025600,224
3025700,330
3025800,233
3025901,880
3025902,1043
3026000,444
3026100,770
3026200,313
3026300,888
3026400,418
3026500,817
3026600,227
3026700,700
3026800,228
3026900,1628
3027000,352
3027100,689
3027200,262
3027300,697
3027400,314
3027500,748
3027600,443
3027700,1160
3027800,607
3027900,927
3028000,224
3028100,1259
3028200,329
3028300,1059
3028400,587
3028501,1329
3028502,415
3028600,445
3028700,1538
3028800,498
3028900,703
3029000,507
3029100,797
3029200,389
3029300,808
3029400,938
3029500,782
3029600,602
3029700,1609
3029800,320
3029900,935
3030000,403
3030100,555
3030200,373
3030300,1000
3030400,489
3030500,816
3030600,807
3030700,1310
3030800,74
3030900,993
3031100,1508
3031300,784
3031400,453
3031500,1213
3031701,1006
3031702,882
3031900,755
3032100,1111
3032300,679
3032500,1115
3032600,2585
3032700,1457
3032800,584
3032900,1108
3033000,1131
3033100,650
3033300,241
3033500,277
3033600,515
3033700,456
3033900,472
3034000,700
3034100,708
3034200,1180
3034300,1215
3034500,823
3034700,1379
3034800,1015
3034900,1982
3035000,1096
3035100,1084
3035200,459
3035300,1488
3035400,718
3035500,1264
3035601,634
3035602,583
3035700,776
3035900,1734
3036001,341
3036002,819
3036100,963
3036200,448
3036300,961
3036400,533
3036501,1276
3036502,970
3036600,388
3036700,1669
3036900,1572
3037000,361
3037100,949
3037300,1101
3037401,644
3037402,336
3037500,1449
3037700,945
3037900,1357
3038100,890
3038200,1262
3038300,823
3038500,909
3038600,443
3038700,1136
3038800,378
3038900,764
3039000,256
3039100,336
3039200,289
3039300,941
3039400,223
3039500,851
3039600,246
3039700,830
3039800,279
3039900,545
3040000,342
3040100,962
3040200,509
3040300,782
3040400,198
3040500,553
3040600,291
3040800,307
3040900,601
3041000,217
3041100,632
3041200,371
3041300,650
3041401,235
3041402,147
3041500,730
3041600,199
3041700,520
3041800,316
3041900,843
3042000,292
3042100,593
3042200,350
3042300,742
3042400,354
3042500,505
3042600,473
3042700,889
3042800,484
3042900,1127
3043000,532
3043100,1256
3043200,520
3043300,1108
3043400,342
3043500,686
3043600,426
3043700,778
3043800,283
3043900,974
3044000,244
3044100,971
3044200,254
3044300,634
3044400,185
3044500,660
3044600,341
3044700,694
3044800,179
3044900,223
3045000,75
3045200,210
3045300,578
3045400,248
3045600,317
3045800,127
3046000,508
3046201,329
3046202,187
3046400,278
3046800,207
3047000,151
3047200,152
3047400,130
3047600,194
3047700,722
3047800,455
3048000,457
3048100,1021
3048200,462
3048400,373
3048500,664
3048600,278
3048800,234
3048900,1591
3049000,564
3049100,1581
3049200,529
3049300,1292
3049400,509
3049500,898
3049600,547
3049700,388
3049800,168
3049900,311
3050000,356
3050100,475
3050202,301
3050300,481
3050400,673
3050500,741
3050600,536
3050700,424
3050801,1211
3050803,1009
3050804,1150
3050900,545
3051001,1802
3051002,1293
3051100,816
3051200,868
3051300,808
3051400,681
3051500,288
3051601,877
3051602,1089
3051700,381
3051800,488
3051900,673
3052000,553
3052300,1250
3052500,892
3052600,423
3052700,921
3052800,257
3052900,337
3053000,211
3053100,281
3053200,348
3053300,216
3053400,492
3053500,323
3053700,352
3053800,448
3053900,198
3054200,543
3054300,19
3054400,217
3054500,453
3054600,468
3054700,536
3054800,291
3054900,527
3055000,356
3055100,628
3055200,749
3055300,776
3055400,838
3055500,324
3055600,266
3055700,254
3055800,312
3056000,265
3056100,470
3056200,131
3056300,520
3056400,257
3056500,380
3056600,319
3056800,193
3056900,525
3057000,433
3057100,384
3057200,1203
3057300,454
3057400,257
3057500,651
3057600,298
3057800,454
3057900,146
3058000,475
3058200,444
3058400,434
3058600,302
3058800,419
3058900,205
3059000,272
3059100,628
3059200,559
3059300,406
3059401,437
3059402,702
3059600,741
3059800,363
3060000,705
3060600,857
3060800,813
3061002,290
3061003,631
3061004,679
3061200,151
3061600,224
3062000,167
3062200,833
3062600,386
3062800,533
3063200,355
3063600,172
3063800,128
3064000,134
3064200,315
3064400,294
3064600,196
3064800,213
3065000,324
3065200,300
3065400,113
3065600,140
3065800,238
3066000,167
3066200,531
3066600,174
3067000,2177
3067200,246
3067400,251
3067600,394
3067800,386
3068000,300
3068200,297
3068600,237
3068800,292
3069000,249
3069200,534
3069601,509
3069602,411
3069800,318
3070000,389
3070201,405
3070202,35
3070600,111
3072000,710
3072200,398
3072400,473
3072600,326
3072800,517
3073000,301
3073200,285
3073400,284
3073600,458
3073800,502
3074000,552
3074200,650
3074400,175
3074600,253
3074800,228
3075000,214
3075200,133
3075400,117
3075600,273
3075800,184
3076000,280
3076200,413
3076400,362
3076600,338
3076800,456
3077000,564
3077200,494
3077400,698
3077600,280
3078000,359
3078200,423
3078400,307
3078600,1169
3078800,661
3079000,808
3079200,887
3079400,880
3079601,997
3079602,924
3079801,554
3079802,1068
3080000,683
3080200,793
3080400,887
3080600,529
3080800,622
3081000,430
3081400,326
3081600,886
3081800,833
3082000,1249
3082200,685
3082400,1174
3082600,1034
3082800,914
3083000,1141
3083200,220
3083400,276
3083600,336
3083800,315
3084000,291
3084600,396
